E4:EDA_mean,E4:EDA_median,E4:EDA_variance,E4:EDA_skewness,E4:EDA_kurtosis,E4:EDA_d1mean,E4:EDA_d2mean,E4:SCL_amp,E4:SCL_sd,E4:SCL_mean,E4:SCL_median,E4:SCL_max,E4:SCL_min,E4:SCR_range,E4:SCR_max,E4:SCR_min,E4:SCR_mean,E4:EDA_max,E4:EDA_min,E4:EDA_range,E4:SCL_range,E4:EDA_d1max,E4:EDA_d1min,E4:EDA_d1sd,E4:EDA_d1range,E4:EDA_d2max,E4:EDA_d2min,E4:EDA_d2sd,E4:EDA_d2range,E4:EDA_sd,E4:SCR_amp_norm,E4:EDA_PSD1,E4:EDA_PSD2,E4:EDA_PSD3,task,stage,Topic,PID
-0.3471810810185186,-0.3485499999999999,-1.1371154965740003e-05,0.8359622877821835,-0.4145386452648516,-6.369591750838825e-05,-3.1847958754165315e-05,-0.0876726761552942,-0.0013206146972512,-0.3471327387662363,-0.3472605941163975,-0.3489558805886565,-0.3449550772344065,-0.0030292197861234,-0.0020576767585241,0.0009715430275993,-0.0001108363166514,-0.3473845757575757,-0.3464918636363636,-0.000892712121212,-0.0040008033542501,-0.000329856060606,0.0,-0.0001616163732071,-0.000329856060606,-0.0001649280303029,0.0,-8.080818660357563e-05,-0.0001649280303029,-0.0003738692395853,0.0,-1.0,-1.0,-1.0,1,0,320.0,PA10
-0.3525677060185186,-0.3530335,-1.2392464154513768e-05,0.4690624565679368,-0.4397879265156228,-5.49421296296459e-06,-2.7471064814592084e-06,-0.0890584432533562,-0.0012386691604795,-0.3526758071584845,-0.3527994228684291,-0.3543800490374873,-0.3506289165626786,-0.0030060757884307,-0.0020345019938172,0.0009715737946134,-0.0001078886256923,-0.3527129166666666,-0.352286,-0.0004269166666666,-0.0037511324748088,-5.3333333333325005e-05,0.0,-5.468892849164399e-05,-5.3333333333325005e-05,-2.666666666664999e-05,0.0,-2.7344464245822e-05,-2.666666666664999e-05,-0.0001342356957314,0.0,-1.0,-1.0,-1.0,1,2,320.0,PA10
-0.3725285060185186,-0.374173,-5.817742286502446e-06,1.1222902498429903,-0.6403196331758778,0.000106649537037,5.332476851852593e-05,-0.0940345440483645,-0.0013015940736026,-0.3725802103385179,-0.3727087214927924,-0.3743744663143946,-0.3704291427620234,-0.0029829250370968,-0.0019625170897358,0.0010204079473609,-4.042956677007982e-05,-0.3723790666666666,-0.37220842,-0.0001706466666666,-0.0039453235523713,0.0001453566666666,0.0,2.160479412690735e-05,0.0001453566666666,7.267833333334801e-05,0.0,1.0802397063452578e-05,7.267833333334801e-05,-0.0001232969952025,0.0,-1.0,-1.0,-1.0,1,3,320.0,PA10
-0.3583332216435186,-0.358799,4.974686544007541e-07,-0.0872597605533535,-0.0690649353269297,-4.553327546294124e-05,-2.2766637731451864e-05,-0.0906455547631488,-0.0011169950137334,-0.3590242531976551,-0.3591433984783356,-0.3605492612574217,-0.3571692755934332,-0.0025053871184397,-0.0011813173945218,0.0013240697239178,0.0004789448806715,-0.3583184166666666,-0.3580514999999999,-0.0002669166666666,-0.0033799856639885,-0.0002134583333333,0.0,-9.888646423668217e-05,-0.0002134583333333,-0.0001067291666666,0.0,-4.944323211834733e-05,-0.0001067291666666,-0.0001366915414865,0.0,-1.0,-1.0,-1.0,1,5,320.0,PA10
-0.5127584105639732,-0.513821,-1.1800254261388749e-05,0.5273425710225268,0.2639154105380004,0.0001255597643097,6.277988215490734e-05,-0.1290635995995885,-0.0013640305421038,-0.5126964325434137,-0.5128216338568747,-0.5145899935756819,-0.5104557475660416,-0.0030284494713504,-0.0020563612164707,0.0009720882548796,-0.0001099536882673,-0.512656212121212,-0.5125787727272727,-7.74393939393546e-05,-0.0041342460096403,0.0003690075757575,0.0,7.095343141953486e-05,0.0003690075757575,0.0001845037878788,0.0,3.547671570976288e-05,0.0001845037878788,-2.985219439760584e-05,0.0,-1.0,-1.0,-1.0,10,0,448.0,PA10
-0.5171590497685186,-0.517665,-1.401657288888873e-05,0.4634636614762049,0.5130161761133825,-0.0001056035879629,-5.2801793981459394e-05,-0.1302235678644614,-0.0014159345828566,-0.5173363056029054,-0.517464008723699,-0.5193052021600749,-0.5150132743375206,-0.003029223545047,-0.0020576873437516,0.0009715362012953,-0.0001108448925392,-0.5170241666666666,-0.51627675,-0.0007474166666666,-0.0042919278225544,-0.0002135833333333,0.0,-9.684917976365872e-05,-0.0002135833333333,-0.0001067916666666,0.0,-4.8424589881829366e-05,-0.0001067916666666,-0.0003055447985388,0.0,-1.0,-1.0,-1.0,10,2,448.0,PA10
-0.5478346825810186,-0.545851,0.0001121042547442,0.3960492305330861,-0.1952654662768087,0.000152171802662,7.608590133103327e-05,-0.1382434577918066,-0.0010770322727861,-0.5494158653122861,-0.5495483679254531,-0.5508634301986742,-0.5476013163594179,-0.0020604111690024,9.177108870579693e-05,0.0021521822577082,0.0015293287765432,-0.5472517291666666,-0.547705625,0.0004538958333333,-0.0032621138392564,0.0005973307291666,0.0,0.000181407523601,0.0005973307291666,0.0002986653645833,0.0,9.070376180050212e-05,0.0002986653645833,0.0001397793034001,0.0002998636177351,-1.0,-1.0,-1.0,10,3,448.0,PA10
-0.5147329060185186,-0.515103,-1.2532727112112403e-05,0.066343465720059,0.4134337787712288,-2.148796296295632e-05,-1.0743981481468158e-05,-0.1296877088840511,-0.0010051490511009,-0.515192869681264,-0.5152789030276892,-0.5165966026258095,-0.5135503858270312,-0.0020246023800341,-0.0008061310277734,0.0012184713522607,0.0004573205802105,-0.5145898666666666,-0.5146755,8.563333333335998e-05,-0.0030462167987785,-8.528333333333998e-05,0.0,-1.878656121834358e-05,-8.528333333333998e-05,-4.264166666663999e-05,0.0,-9.393280609177431e-06,-4.264166666663999e-05,8.011218835759162e-05,0.0,-1.0,-1.0,-1.0,10,5,448.0,PA10
-0.5428452417328044,-0.543288,-1.2513496322948816e-05,0.6194689215707301,-0.1931966291154903,7.45906084656e-05,3.729530423282314e-05,-0.1366849259868038,-0.001340516958723,-0.5431817380922749,-0.5433078924091437,-0.5450379732089481,-0.5409757461594105,-0.0026899148153566,-0.0014896876393802,0.0012002271759763,0.0002674929042309,-0.5423728095238095,-0.5424949285714286,0.000122119047619,-0.0040622270495377,6.120238095234285e-05,0.0,4.2349041074439e-06,6.120238095234285e-05,3.060119047618572e-05,0.0,2.1174520537148057e-06,3.060119047618572e-05,-1.7331118349901264e-06,0.0,-1.0,-1.0,-1.0,11,0,725.0,PA10
-0.5444640810185186,-0.545851,-1.3297758779513752e-05,1.8098295250424303,-0.3545729331505534,0.000274880787037,0.0001374403935185,-0.1370661407255093,-0.001276800643705,-0.544706597047097,-0.5448382159142078,-0.5464579594043331,-0.5425901771329924,-0.003003609713829,-0.0020178767208658,0.000985732992963,-8.636228634967235e-05,-0.5439284166666666,-0.54446275,0.0005343333333333,-0.0038677822713407,0.0007477916666666,0.0,0.0002591500196838,0.0007477916666666,0.0003738958333333,0.0,0.0001295750098418,0.0003738958333333,0.0003007693480368,0.0,-1.0,-1.0,-1.0,11,2,725.0,PA10
