E4:EDA_mean,E4:EDA_median,E4:EDA_variance,E4:EDA_skewness,E4:EDA_kurtosis,E4:EDA_d1mean,E4:EDA_d2mean,E4:SCL_amp,E4:SCL_sd,E4:SCL_mean,E4:SCL_median,E4:SCL_max,E4:SCL_min,E4:SCR_range,E4:SCR_max,E4:SCR_min,E4:SCR_mean,E4:EDA_max,E4:EDA_min,E4:EDA_range,E4:SCL_range,E4:EDA_d1max,E4:EDA_d1min,E4:EDA_d1sd,E4:EDA_d1range,E4:EDA_d2max,E4:EDA_d2min,E4:EDA_d2sd,E4:EDA_d2range,E4:EDA_sd,E4:SCR_amp_norm,E4:EDA_PSD1,E4:EDA_PSD2,E4:EDA_PSD3,task,stage,Topic,PID
-0.3459983899999999,-0.3485499999999999,-1.1371154965740002e-05,0.8359622877821836,-0.4145386452648516,-0.0001238183333333,-6.19091666666249e-05,-0.1757191382189194,-0.0005755919038066,-0.3453276169284278,-0.3453461124128711,-0.3460803130227218,-0.3445379439504086,-0.0014051448151901,-0.001469505393711,-6.436057852086991e-05,-0.0006736779621521,-0.3462090266666664,-0.345747893333333,-0.0004611333333333,-0.0015423690723132,-0.0003842999999999,5.1239999999992e-05,-0.000183344437263,-0.0004355399999999,-0.0001921499999999,2.5619999999992e-05,-9.167221863152148e-05,-0.0002177699999999,-0.0002203756227298,0.0,-1.0,-1.0,-1.0,1,0,320.0,PA10
-0.3511933649999998,-0.3530335,-1.2392464154513768e-05,0.4690624565679369,-0.4397879265156228,-0.0001462858333333,-7.314291666662595e-05,-0.1785121104962274,-0.0005320595197403,-0.3509135614830436,-0.3509315636665017,-0.3516083636346546,-0.3501827690496781,-0.00134512701216,-0.0013143068403312,3.0820171828828015e-05,-0.0005457345268566,-0.3515385666666664,-0.3510260333333331,-0.0005125333333333,-0.0014255945849766,-0.0003203499999999,0.0,-0.0001379357553763,-0.0003203499999999,-0.0001601749999999,0.0,-6.89678776881613e-05,-0.0001601749999999,-0.0002419403534741,0.0,-1.0,-1.0,-1.0,1,2,320.0,PA10
-0.3712710871698111,-0.374173,-5.817742286502445e-06,1.1222902498429903,-0.6403196331758778,5.8350251572308e-05,2.917512578618382e-05,-0.1874009690703892,-0.0005673043603786,-0.3706738426721639,-0.3706926742510387,-0.3714152863208136,-0.3698947847816702,-0.0013814694984311,-0.0013886112848968,-7.1417864657206585e-06,-0.0006048642603782,-0.3713170930817607,-0.3712350088050312,-8.208427672957171e-05,-0.0015205015391435,4.941509433990554e-06,8.461320754716226e-05,-3.384552761136743e-05,-7.967169811316605e-05,2.470754717004331e-06,4.230660377357736e-05,-1.6922763805685602e-05,-3.983584905657575e-05,-6.67481684980241e-05,0.0,-1.0,-1.0,-1.0,1,3,320.0,PA10
-0.3581877899999998,-0.358799,4.974686544007558e-07,-0.0872597605533533,-0.0690649353269297,-6.957464912281099e-05,-3.478732456137058e-05,-0.1820846987161254,-0.0004626401969485,-0.3580587379228395,-0.358075917003801,-0.3586612781067475,-0.3574218536621706,-0.0012060566495343,-0.0008349947953551,0.0003710618541791,-0.0001404905877015,-0.3583897087719295,-0.3581064596491226,-0.000283249122807,-0.0012394244445769,-0.0001955684210525,3.3710526315784216e-05,-9.413249529919752e-05,-0.0002292789473683,-9.778421052626874e-05,1.6855263157889472e-05,-4.706624764959875e-05,-0.0001146394736841,-0.0001484038492247,0.0,-1.0,-1.0,-1.0,1,5,320.0,PA10
-0.5116799899999999,-0.513821,-1.1800254261388744e-05,0.5273425710225268,0.2639154105380004,1.7101666666662834e-05,8.550833333366923e-06,-0.2584932187826931,-0.0005876320939933,-0.510875778055975,-0.5108938802833742,-0.5116450505243709,-0.510070315217942,-0.0014048540949974,-0.0014685811718437,-6.372707684628168e-05,-0.0006729052157245,-0.5116856666666665,-0.5116344533333331,-5.121333333333999e-05,-0.0015747353064289,7.690000000005197e-05,0.0,1.3495615634118684e-05,7.690000000005197e-05,3.845000000004821e-05,0.0,6.747807817055339e-06,3.845000000004821e-05,-5.5335945277472994e-05,0.0,-1.0,-1.0,-1.0,10,0,448.0,PA10
-0.5159208399999999,-0.517665,-1.4016572888888729e-05,0.463463661476205,0.5130161761133825,-0.0001302733333333,-6.513666666662575e-05,-0.2606711601967438,-0.000619913065994,-0.5152316608840763,-0.5152502797333021,-0.5160437137245302,-0.5143823844303328,-0.0014051475025591,-0.0014695189004125,-6.43713978533738e-05,-0.0006736901284277,-0.5161699666666665,-0.5156574333333331,-0.0005125333333333,-0.0016613292941975,-0.0002562999999999,0.0,-0.0001168533009207,-0.0002562999999999,-0.0001281499999999,0.0,-5.842665046038e-05,-0.0001281499999999,-0.0002505214263617,0.0,-1.0,-1.0,-1.0,10,2,448.0,PA10
-0.5462600823076922,-0.545851,0.0001121042547442,0.3960492305330862,-0.1952654662768087,8.166320512819894e-05,4.083160256413212e-05,-0.2760395799301587,-0.0004559975736566,-0.547123565964443,-0.5471424535052882,-0.5477157794937488,-0.5464935914386082,-0.0009659492554568,0.0003657362502891,0.0013316855057459,0.0009412589566603,-0.5461592820512818,-0.5462283410256409,6.905897435896233e-05,-0.0012221880551408,0.0001281923076923,5.4199999999996926e-05,3.022938848194988e-05,7.399230769235614e-05,6.409615384619493e-05,2.7099999999996925e-05,1.511469424096994e-05,3.699615384619569e-05,1.2427997599937376e-05,0.0003321566227219,-1.0,-1.0,-1.0,10,3,448.0,PA10
-0.5129741858333332,-0.515103,-1.2532727112112403e-05,0.0663434657200591,0.4134337787712288,2.460791666664167e-05,1.2303958333355256e-05,-0.2601515823858787,-0.0003167670327301,-0.5141925052623463,-0.5142010174835685,-0.5146084535691499,-0.51375954659826,-0.0003526736265449,0.0009976090427572,0.0013502826693021,0.0012686783778327,-0.5129456166666665,-0.5128816833333332,-6.393333333335831e-05,-0.00084890697089,8.555000000001668e-05,0.0,2.4870222152099997e-05,8.555000000001668e-05,4.2775000000016686e-05,0.0,1.2435111076049997e-05,4.2775000000016686e-05,-6.020771605428876e-05,0.0,-1.0,-1.0,-1.0,10,5,448.0,PA10
-0.5411786135294117,-0.543288,-1.2513496322948811e-05,0.6194689215707302,-0.1931966291154903,2.6128137254883065e-05,1.3064068627469371e-05,-0.2734493326575915,-0.0005902953566905,-0.5407880058057719,-0.5408058935721083,-0.541561078750696,-0.5399791714133366,-0.0012890388259086,-0.001096855232391,0.0001921835935175,-0.0003588010531347,-0.5411375725490194,-0.5411676980392155,3.01254901960471e-05,-0.0015819073373595,2.262352941181176e-05,0.0,8.437472856876538e-06,2.262352941181176e-05,1.1311764705912632e-05,0.0,4.218736428438269e-06,1.1311764705912632e-05,-5.956599429349049e-06,0.0,-1.0,-1.0,-1.0,11,0,725.0,PA10
-0.5431458649999998,-0.545851,-1.329775877951375e-05,1.8098295250424303,-0.3545729331505534,0.0001901391666666,9.506958333333714e-05,-0.2744406991288026,-0.0005644261122947,-0.542770738748194,-0.5427901699809381,-0.5435075567987682,-0.5419950723172934,-0.0013957027099954,-0.0014435960816035,-4.7893371608110606e-05,-0.0006522037990344,-0.5429463666666664,-0.5434591333333332,0.0005127666666666,-0.0015124844814749,0.0003845999999999,6.404999999999001e-05,0.0001496320479955,0.00032055,0.0001922999999999,3.202499999999e-05,7.481602399777642e-05,0.0001602749999999,0.000207418767861,0.0,-1.0,-1.0,-1.0,11,2,725.0,PA10
