EYE:GAZE_fixation_count,EYE:GAZE_fixation_total_duration,EYE:GAZE_fixation_mean_duration,EYE:GAZE_saccade_count,EYE:GAZE_saccade_total_duration,EYE:GAZE_saccade_mean_duration,task,stage,Topic,PID
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.0435701997926132,-0.047703355142125,0.0144118013365762,1,0,320.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.6568011608840203,-0.6798192970356088,-0.1675920709503229,1,2,320.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,1.25647943772117,1.1702535695018348,-0.3374212021553119,1,3,320.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.6813303993276766,-0.6141088550525381,2.325448543704692,1,5,320.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.1335107407526863,-0.1414872723386204,-0.0046282398838207,10,0,448.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.7058596377713329,-0.7007972785137723,0.6807561524725939,10,2,448.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,3.5622278514248604,3.1347798349863174,-0.7763861799211799,10,3,448.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.795800178731406,-0.7942726959826476,0.9984232070167964,10,5,448.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.3624502995601449,-0.3494160887545346,0.3043497713473596,11,0,725.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.6649775736985725,-0.7208497608090756,-1.0245608827513704,11,2,725.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,0.8640116226226692,0.7975858985368137,-0.3045191901307161,11,3,725.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.795800178731406,-0.844866651312336,-1.4905792829539228,11,4,725.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.3133918226728324,-0.3074601257982077,0.1893200060879237,12,0,314.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,0.8885408610663255,1.1674770719532543,1.0631958110132034,12,1,314.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.7303888762149892,-0.7831667057883258,-1.1963819905183597,12,2,314.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.5505077942948431,-0.5807908844695726,-0.2897114657653061,12,5,314.0,PA10
-0.1170411471961305,-0.1170411471961305,-0.1170411471961305,-0.3869795380038012,-0.4104990348233046,-0.1527850823724579,2,0,419.0,PA10
