E4:ACC_mean,E4:ACC_sd,E4:ACC_range,E4:ACC_max,E4:ACC_min,MOTION:ACC_meanX,MOTION:ACC_meanY,MOTION:ACC_meanZ,MOTION:MAG_meanX,MOTION:MAG_meanY,MOTION:MAG_meanZ,MOTION:ACC_magmean,MOTION:ACC_magenergy,task,stage,Topic,PID
1.2475919958622108,-0.0789120355198326,-0.1208371786640238,0.1691971437157593,0.4135328803692797,1.2697347857188803,-0.9948060251713045,1.7045855362451603,0.2877600476619547,1.1452446603889472,-1.4134259534359612,-0.3267471862262861,-0.0352688490614828,1,0,320.0,PA10
1.486077319709536,-0.4227638859236734,-0.2942589577814017,0.0543866649782387,0.6174050199377149,1.2941072902372428,-1.1610098382362324,1.6165504688660888,0.6027602872564464,0.9910012564586472,-1.362975970874234,-0.5083784473173587,-0.0235745546816745,1,2,320.0,PA10
0.8956641139006642,0.2441049175327527,-0.0001431543440852,0.3656769022346839,0.3986478512062246,1.5620983039455367,-1.7702210809889056,0.9325169576075688,1.176931124802661,1.3623317298159712,-0.7417450053471041,0.0203203643704092,-0.0340321312964276,1,3,320.0,PA10
1.5537551812913837,1.5330024946884062,1.751965282283043,1.9499052841097329,-1.1988863401675116,1.7458468772583196,-1.9176050875507,1.6748818774468517,-0.3861536201182705,2.1684318141356465,-1.4944906219615743,-0.1155828787532891,-0.028510355986548,1,5,320.0,PA10
-0.1082853931987527,-0.2091830915757207,-0.1961604009477235,-0.457154592930842,-0.1259539560696017,-1.61602598798274,1.5470381672170352,-0.7513380555713794,-0.5075289379323125,-1.5953380285112908,0.8281421203962545,0.4635661198171108,-0.0233329503010074,10,0,448.0,PA10
-1.5445956277233686,0.4673900814218139,-0.0286053889994657,-0.5024881147534366,-0.4931622519230003,-1.7442182482949635,1.5879741998294188,-1.4829128330567367,-0.1787866745031066,-1.510160019644278,1.6752789988920251,1.146037007667594,-8.397829659725041e-05,10,2,448.0,PA10
-0.8624387571699909,0.0007478381941137,0.0190275910045916,-0.2598009682884747,-0.3191246185097702,-0.8427227120039819,0.6077218489778455,-1.63078513710849,-0.6742488714643593,-0.7490439155952541,1.722658790588821,0.9868787235193888,-0.0195346338111656,10,3,448.0,PA10
1.744144617576259,2.084691324326392,2.318381054550428,3.099593475045749,-1.0207775311680345,-0.5174596825043964,0.7571200901501419,-0.924919774767719,-0.0997973662605862,-0.8443308229040841,0.9982868279394488,1.2901169511412522,-0.0021504314319908,10,5,448.0,PA10
-0.4399573692222306,0.2091088979031436,-0.0631139717258983,-0.1358031828574511,-0.028231347146161,0.0211671797892178,-0.163062429257071,-1.134193551947405,1.0975827839524903,-0.7523840659706866,1.1115001577886745,0.4536335976405774,-0.0205997229531392,11,0,725.0,PA10
-0.6673229416880575,0.2947312655200209,-0.0573593880218773,-0.125783751621847,-0.028231347146161,-0.4597739663652539,0.3276236726516434,-0.0637594001235097,0.8322038960386966,-0.8600717735186134,0.092184398336944,-1.0545916157111936,-0.0313714037400182,11,2,725.0,PA10
-0.8979729562203943,-0.2999740187127511,-0.2691347641117122,-0.5021306394605005,-0.0365329142156056,-0.539730960864189,0.5525931683215916,-0.5656064830972058,0.08703449376923,-0.9312232212583744,0.5842502917393585,0.0009570649518022,-0.0343194846801971,11,3,725.0,PA10
-1.1741595301846577,-0.6334682008719016,-0.5259400839775844,-0.9416398244389228,-0.028231347146161,-0.9110857554143053,0.8384168423570943,-0.783754448786179,-1.1278857440993195,-0.5032608000273734,0.8117572544428222,0.0590096067721511,0.0486038303280211,11,4,725.0,PA10
-0.8413799457976122,0.0022708153682789,-0.0686385426244793,-0.1711758630858174,-0.0562880159841195,0.2055794080373189,-0.0359721183425639,0.2761710073101184,-0.3685755373354829,-0.0178396059530901,-0.3066949513556388,-0.3049928946994747,-0.0313743146790364,12,0,314.0,PA10
-0.4528245245291238,-0.203731323393005,-0.2438107608539015,-0.4409868852223208,-0.0179565551090441,-0.2973571455803098,0.4508009978739795,0.5621182410016446,-0.2077282277499535,-0.5458435004258315,-0.4525116716326635,-0.7659521748722684,-0.0455674246903957,12,1,314.0,PA10
-0.3342769873893759,0.347797540856806,-0.0405641743002012,-0.0256379427543293,0.0490122344351908,-0.3254894582144333,0.5878072066203124,0.3297417152550289,-1.79799812034881,0.0063259753177152,-0.1459192341222213,-0.213665122755037,-0.0193805722968932,12,2,314.0,PA10
0.2820419618392287,1.2446642173369704,1.3244545645929051,1.0523882661691455,-1.3657517169969875,0.5940906866568965,-0.7065438447817046,0.639579026218937,1.3083116579687375,-0.3752068338666344,-0.6798536180030932,-0.9784733159881964,-0.0408371865240418,12,5,314.0,PA10
0.5568012520211255,-0.5051690597925242,-0.3892909831392863,-0.1645742954692815,0.5591224595841634,1.4799547864783096,-1.459454406789639,0.6707123027136993,-0.3175954380235981,1.440544040294384,-0.5663922243852426,0.4180606830522655,-0.0196007037690478,2,0,419.0,PA10
